Date,Alemania,Sudáfrica,España
2020-08-25 00:00:00+00:00,234853,613017,412553
2020-08-26 00:00:00+00:00,236429,615701,419849
2020-08-27 00:00:00+00:00,237936,618286,429507
2020-08-28 00:00:00+00:00,239507,620132,439286
2020-08-29 00:00:00+00:00,240986,622551,439286
2020-08-30 00:00:00+00:00,241771,625056,439286
2020-08-31 00:00:00+00:00,242381,627041,462858
2020-09-01 00:00:00+00:00,243599,628259,470973
2020-09-02 00:00:00+00:00,244855,630595,479554
2020-09-03 00:00:00+00:00,246166,633015,488513
2020-09-04 00:00:00+00:00,247619,635078,498989
2020-09-05 00:00:00+00:00,248997,636884,498989
2020-09-06 00:00:00+00:00,249985,638517,498989
2020-09-07 00:00:00+00:00,250799,639362,525549
2020-09-08 00:00:00+00:00,252298,640441,534513
2020-09-09 00:00:00+00:00,253474,642431,543379
2020-09-10 00:00:00+00:00,255366,644438,554143
2020-09-11 00:00:00+00:00,256850,646398,566326
2020-09-12 00:00:00+00:00,258480,648214,566326
2020-09-13 00:00:00+00:00,259428,649793,566326
2020-09-14 00:00:00+00:00,260355,650749,593730
2020-09-15 00:00:00+00:00,261762,651521,603167
2020-09-16 00:00:00+00:00,263663,653444,614360
2020-09-17 00:00:00+00:00,265857,655572,625651
2020-09-18 00:00:00+00:00,267773,657627,640040
2020-09-19 00:00:00+00:00,270070,659656,640040
2020-09-20 00:00:00+00:00,271415,661211,640040
2020-09-21 00:00:00+00:00,272337,661936,671468
2020-09-22 00:00:00+00:00,274158,663282,682267
2020-09-23 00:00:00+00:00,275927,665188,693556
2020-09-24 00:00:00+00:00,278070,667049,704209
2020-09-25 00:00:00+00:00,280223,668529,716481
2020-09-26 00:00:00+00:00,282730,669498,716481
2020-09-27 00:00:00+00:00,284140,670766,716481
2020-09-28 00:00:00+00:00,285332,671669,748266
2020-09-29 00:00:00+00:00,287421,672572,748266
2020-09-30 00:00:00+00:00,289219,674339,769188
2020-10-01 00:00:00+00:00,291722,676084,778607
2020-10-02 00:00:00+00:00,294395,677833,789932
2020-10-03 00:00:00+00:00,296958,679716,789932
2020-10-04 00:00:00+00:00,299237,681289,789932
2020-10-05 00:00:00+00:00,300619,682215,813412
2020-10-06 00:00:00+00:00,303258,683242,825410
